Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
3.5 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29622977848236276, 0.37348229951923184, 16.696519610115168, 21.050734905522127, 16489.5234375, 15.266966288849995, 0.46458333333333335, 1171527, 3499092, 1239912, 1000, 6.581363458225421E-4, 1.0977037437522741E-4, 7.242390040633758E-4, 4.6112354412057566E-4, 0.01739976966785559, 9.96909864074277E-4, N/A , N/A
4.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29795242733565575, 0.35455712621409236, 16.793613968783976, 19.98404765742393, 16489.5234375, 15.600520758800014, 0.4999166666666667, 1186155, 3541617, 1255301, 1000, 7.853636051086833E-4, 1.1077423426732834E-4, 7.819744178506742E-4, 4.356562273217416E-4, 0.03410675223370246, 0.0020647384449341707, N/A , N/A
4.5 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29668455207738886, 0.35975268634567176, 16.722152199405873, 20.27688712841456, 16489.5234375, 15.755006527283362, 0.5239666666666667, 1197960, 3576917, 1268530, 1000, 7.672655073866073E-4, 1.1784841628430694E-4, 8.265719570383601E-4, 4.649434100203579E-4, 0.017021236117937856, 0.005541975834618596, N/A , N/A
5.0 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2976126343975834, 0.3700475379874408, 16.774462081073803, 20.857140042894116, 16489.5234375, 15.989347219683314, 0.5693, 1213139, 3622236, 1285085, 1000, 7.059105363761705E-4, 1.0809277686682099E-4, 7.585326411666122E-4, 4.572671864384135E-4, 0.012525944328142084, 9.869727495163986E-4, N/A , N/A
5.5 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2968046930540398, 0.3937744139356475, 16.72892375418645, 22.19446761200476, 16489.5234375, 16.12247350425001, 0.6015666666666667, 1227556, 3665033, 1300980, 1000, 7.118296091846033E-4, 1.0097532127356235E-4, 7.620173699898221E-4, 4.8500532522133516E-4, 0.006181108639680019, 0.0022146953615908853, N/A , N/A
6.0 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2965770717638904, 0.3630562967561464, 16.716094242737164, 20.463089866995603, 16489.5234375, 16.41955635141666, 0.6383833333333333, 1240313, 3702161, 1314311, 1000, 7.389728099518318E-4, 1.0776633689272282E-4, 7.956110082825354E-4, 4.677173156231523E-4, 0.031171448882253802, 0.0013281028115930413, N/A , N/A
2.5 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3000494432592463, 0.3789245547064512, 16.911808931053912, 21.357478950371988, 16489.5234375, 14.673702175066662, 0.3725333333333333, 1115378, 3331434, 1178735, 1000, 5.168279392867013E-4, 1.361079572150398E-4, 0.0010562707374201343, 0.001046326759056359, 0.005968772489034608, 0.008979297194701934, N/A , N/A
3.0 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2989087749977224, 0.33436152529904295, 16.847516981423656, 18.845754780712824, 16489.5234375, 14.779626918233335, 0.3950666666666667, 1131746, 3379926, 1196295, 1000, 6.518947203066032E-4, 1.3009462930798423E-4, 0.0011491045626756385, 9.896915944234237E-4, 0.005091999268549174, 0.004150572700302962, N/A , N/A
3.5 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2975480823399301, 0.3505734783943201, 16.770823707166887, 19.759515693475617, 16489.5234375, 15.16615622185001, 0.43333333333333335, 1158840, 3461927, 1226770, 1000, 7.231268286299321E-4, 1.2581748599169705E-4, 7.964872363485536E-4, 4.715005037228491E-4, 0.005647349592085959, 0.006857650789159524, N/A , N/A
4.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2975693139360373, 0.3433328074737794, 16.772020392262405, 19.351406810450552, 16489.5234375, 15.422046505916638, 0.46026666666666666, 1174454, 3507578, 1243310, 1000, 7.002591542116692E-4, 1.181324880342237E-4, 7.812011175163544E-4, 4.4865288272890675E-4, 0.005671130220988625, 0.005679628766119576, N/A , N/A
4.5 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29400868382489753, 0.3943338510719285, 16.57133114765106, 22.22599939508341, 16489.5234375, 15.597095417016671, 0.5061, 1191343, 3557038, 1260929, 1000, 6.700252333307201E-4, 1.1289195216745843E-4, 8.024957872181949E-4, 4.5628867031265706E-4, 0.0039647668170165245, 0.006968433641254286, N/A , N/A
5.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29726644917352035, 0.3723618512620076, 16.754949902345814, 20.987582624226484, 16489.5234375, 15.932682330500002, 0.5302, 1202845, 3591462, 1273664, 1000, 6.748777410063811E-4, 1.1762364422002842E-4, 8.006477171789708E-4, 4.669000637028523E-4, 0.004386139429073143, 0.0012848666290709186, N/A , N/A
5.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2974683879044428, 0.3867017349717303, 16.76633185725312, 21.795827328026277, 16489.5234375, 16.278063947683318, 0.5883833333333334, 1224247, 3654233, 1296418, 1000, 6.509708551093379E-4, 1.0448262837981221E-4, 7.590588694157332E-4, 4.7307677504838523E-4, 0.007955180435948476, 0.009693084922769896, N/A , N/A
6.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29695098617869936, 0.3729802475201093, 16.73716933313269, 21.022437544292636, 16489.5234375, 16.141337909616684, 0.6099833333333333, 1228280, 3666964, 1301538, 1000, 6.618232790220079E-4, 1.0740530178914743E-4, 7.669271284632086E-4, 4.6540080051827004E-4, 0.006088866043629085, 0.002005543587820808, N/A , N/A
