Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
1.0 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.144742976321858,2.82957433953857,5.59450416183026,7727.69140625,8.17290534746667,231950,692812,263689,1000,1.28587637628062E-05,1.0094871055226E-05,3.51590364509352E-07,1.12094486475922E-06,1.4445570749308E-07,0.000347204802572538,2.85761133400261E-05, N/A , N/A
1.0 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.152927734095298,2.98957782405699,5.53981319505294,7727.69140625,9.13783092489998,269522,804054,308133,1000,1.90900602640123E-06,1.50447853867134E-06,4.99675708452568E-08,2.47998214556763E-07,2.67858702469871E-08,0.00010460913826329,5.19850935418848E-06, N/A , N/A
1.0 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.144811211899291,2.83090827396396,5.52867425258172,7727.69140625,10.8285544384333,318471,949131,365396,1000,5.59366871464915E-05,4.39034175559644E-05,1.03342145065143E-06,1.24491762135967E-05,8.51833924923214E-07,0.00393012818572139,0.000207093955903852, N/A , N/A
1.0 m, 1.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.156742782013782,3.06415803491468,5.55697465629622,7727.69140625,12.8116228058,376935,1122907,433449,1000,1.09003219378597E-05,8.55563479172931E-06,6.74288853921785E-07,2.44709745447108E-06,1.75083256798465E-07,0.000966544185571689,4.33170066556764E-05, N/A , N/A
1.0 m, 1.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.157835366596936,3.08551692485068,5.56896718111394,7727.69140625,15.1490823769,445468,1326235,512595,1000,3.03435418814724E-06,2.38515599217883E-06,3.98954311659844E-07,8.19886895571103E-07,4.50765345234061E-08,0.000509976417807903,1.31687436945523E-05, N/A , N/A
2.0 m, 2.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.138236132040871,2.70237231511762,5.31444180730329,7727.69140625,8.31938147301665,252725,753775,288263,1000,9.13025526516125E-07,7.34732947518738E-07,2.3144725077599E-07,1.46033704776446E-07,2.29661224011224E-08,3.84211168028243E-05,2.11150796565355E-06, N/A , N/A
2.0 m, 2.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.13467641738562,2.63278360345413,5.12371700265686,7727.69140625,10.55063357735,309263,922003,354807,1000,6.37208243817577E-07,5.26132295977239E-07,9.40443155802389E-08,5.79716506718297E-08,1.05924985539604E-08,2.53681787546366E-05,1.36912625556959E-06, N/A , N/A
2.0 m, 2.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.131621390970852,2.57306102091845,5.12798470095638,7727.69140625,13.4827491938,381009,1135042,437020,1000,2.12243962887751E-06,1.67686024346947E-06,6.30582281275666E-07,2.72120675623056E-07,3.3024884718768E-08,0.00017324183476115,6.80814288068695E-06, N/A , N/A
2.0 m, 2.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.139019532223097,2.71768697223982,5.16989539176144,7727.69140625,16.7790468998333,468301,1394145,536483,1000,5.30531772231904E-06,4.16678410612483E-06,4.37820143678515E-07,7.43838583139824E-07,9.2323376512928E-08,0.000476540361344878,1.89126337800549E-05, N/A , N/A
2.0 m, 2.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.130307796100377,2.54738161019679,5.08178518192728,7727.69140625,19.3332956350834,568884,1693616,650904,1000,3.15636491080781E-05,2.47719888813238E-05,1.41440731665297E-06,3.2713122536426E-06,4.53929985189471E-07,0.00343915107373314,0.000128589033187499, N/A , N/A
