Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
2.5 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.15917041003586918, 3.1116156327325317, 5.662270290452127, 3852.00390625, 8.622216848483344, 246100, 734756, 281302, 1000, 1.8731802768429786E-6, 1.4804615425009803E-6, 4.351745150632094E-7, 6.486951255688235E-7, 1.3586496960199E-7, 4.523955150088946E-5, 5.81547742465015E-6, N/A , N/A
2.5 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.15639692192027013, 3.057396830533359, 5.553728678433278, 3853.87890625, 10.498817538183326, 296385, 883878, 340491, 1000, 1.9611107046568224E-6, 1.5481705774086374E-6, 2.979604215204313E-7, 2.1643813461649446E-7, 3.088986732530871E-8, 5.540908083987471E-5, 5.441158681926562E-6, N/A , N/A
2.5 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1458595337870308, 2.851401874334095, 5.537681669481483, 3992.77734375, 12.506928832566679, 359511, 1071188, 413675, 1000, 2.9567143406400985E-6, 2.326755090096695E-6, 4.4053802710532843E-7, 4.656785588977343E-7, 4.331444446104057E-8, 8.153923740001056E-5, 9.617274058809993E-6, N/A , N/A
