Corner 1 Offset, Corner 2 Offset, Mesh Base, Mesh Min, Mesh Max Tet, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
-1.0 / 0.0 / 0.0 m, 1.0 / 1.0 / 1.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.144742976321858,2.82957433953857,5.59450416183026,7659.2421875,8.21814455206667,231950,692812,263689,1000,1.28587637628062E-05,1.0094871055226E-05,3.51590364509352E-07,1.12094486475922E-06,1.4445570749308E-07,0.000347204802572538,2.85761133400261E-05, N/A , N/A
-1.0 / 0.0 / 0.0 m, 1.0 / 2.0 / 2.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.152927734095298,2.98957782405699,5.53981319505294,7659.2421875,9.39311011285,269522,804054,308133,1000,1.90900602640123E-06,1.50447853867134E-06,4.99675708452568E-08,2.47998214556763E-07,2.67858702469871E-08,0.00010460913826329,5.19850935418848E-06, N/A , N/A
-1.0 / 0.0 / 0.0 m, 1.0 / 3.0 / 3.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.144811211899291,2.83090827396396,5.52867425258172,7659.2421875,11.0510833162667,318471,949131,365396,1000,5.59366871464915E-05,4.39034175559644E-05,1.03342145065143E-06,1.24491762135967E-05,8.51833924923214E-07,0.00393012818572139,0.000207093955903852, N/A , N/A
-1.0 / 0.0 / 0.0 m, 1.0 / 4.0 / 4.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.156742782013782,3.06415803491468,5.55697465629622,7659.4921875,13.0540950316333,376935,1122907,433449,1000,1.09003219378597E-05,8.55563479172931E-06,6.74288853921785E-07,2.44709745447108E-06,1.75083256798465E-07,0.000966544185571689,4.33170066556764E-05, N/A , N/A
-1.0 / 0.0 / 0.0 m, 1.0 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.157835366596936,3.08551692485068,5.56896718111394,7661.4921875,15.4263128132833,445468,1326235,512595,1000,3.03435418814724E-06,2.38515599217883E-06,3.98954311659844E-07,8.19886895571103E-07,4.50765345234061E-08,0.000509976417807903,1.31687436945523E-05, N/A , N/A
-2.0 / 0.0 / 0.0 m, 2.0 / 1.0 / 1.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.138236132040871,2.70237231511762,5.31444180730329,7661.4921875,8.31018477803332,252725,753775,288263,1000,9.13025526516125E-07,7.34732947518738E-07,2.3144725077599E-07,1.46033704776446E-07,2.29661224011224E-08,3.84211168028243E-05,2.11150796565355E-06, N/A , N/A
-2.0 / 0.0 / 0.0 m, 2.0 / 2.0 / 2.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.13467641738562,2.63278360345413,5.12371700265686,7661.7421875,10.1856149769833,309263,922003,354807,1000,6.37208243817577E-07,5.26132295977239E-07,9.40443155802389E-08,5.79716506718297E-08,1.05924985539604E-08,2.53681787546366E-05,1.36912625556959E-06, N/A , N/A
-2.0 / 0.0 / 0.0 m, 2.0 / 3.0 / 3.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.131621390970852,2.57306102091845,5.12798470095638,7661.7421875,13.0209209932833,381009,1135042,437020,1000,2.12243962887751E-06,1.67686024346947E-06,6.30582281275666E-07,2.72120675623056E-07,3.3024884718768E-08,0.00017324183476115,6.80814288068695E-06, N/A , N/A
-2.0 / 0.0 / 0.0 m, 2.0 / 4.0 / 4.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.139019532223097,2.71768697223982,5.16989539176144,7664.8671875,16.4845196667,468301,1394145,536483,1000,5.30531772231904E-06,4.16678410612483E-06,4.37820143678515E-07,7.43838583139824E-07,9.2323376512928E-08,0.000476540361344878,1.89126337800549E-05, N/A , N/A
-2.0 / 0.0 / 0.0 m, 2.0 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.130307796100377,2.54738161019679,5.08178518192728,7664.8671875,19.2201799274167,568884,1693616,650904,1000,3.15636491080781E-05,2.47719888813238E-05,1.41440731665297E-06,3.2713122536426E-06,4.53929985189471E-07,0.00343915107373314,0.000128589033187499, N/A , N/A
-3.0 / 0.0 / 0.0 m, 3.0 / 1.0 / 1.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.138181973030666,2.7013135629113,5.33104217885595,7664.8671875,9.04273076876667,267576,797674,306918,1000,9.93858840566872E-06,7.80271771810059E-06,6.52265249975693E-07,5.84661058980344E-07,1.8478358758564E-07,0.00032541797055173,2.21691176230018E-05, N/A , N/A
-3.0 / 0.0 / 0.0 m, 3.0 / 2.0 / 2.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.134231273510985,2.62408150462297,5.12625182907176,7664.8671875,11.5470903152167,345759,1029869,397649,1000,1.69965006910537E-06,1.34640386022494E-06,2.27006348417657E-07,1.53430168037019E-07,3.28163343692173E-08,0.000111006642085322,4.90429823464871E-06, N/A , N/A
-3.0 / 0.0 / 0.0 m, 3.0 / 3.0 / 3.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.143194613987305,2.79930546956303,5.03387493358389,7664.8671875,15.1241385848,443023,1319003,508622,1000,2.62389660788698E-06,2.06818900427116E-06,4.01782683130655E-07,3.39552168325061E-07,4.36018080847221E-08,0.000310047218048177,9.4654479813997E-06, N/A , N/A
-3.0 / 0.0 / 0.0 m, 3.0 / 4.0 / 4.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.125833823179834,2.45992010226421,5.06714342676456,7673.859375,19.1645011172666,557804,1660458,638389,1000,5.05869130257373E-06,3.97415346181527E-06,1.22338687364211E-06,6.35643923657081E-07,9.91703476396091E-08,0.000533528157075672,1.86823439420293E-05, N/A , N/A
-3.0 / 0.0 / 0.0 m, 3.0 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.135560903323317,2.65007438174672,5.0999546133966,7673.859375,23.4756006504833,689120,2051873,786169,1000,6.6686341663964E-06,5.23773797805848E-06,5.91030010905714E-07,6.88157324755374E-07,1.167843086132E-07,0.000674014365604678,2.53681753487987E-05, N/A , N/A
-4.0 / 0.0 / 0.0 m, 4.0 / 1.0 / 1.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.162640290823942,3.17944818591532,5.33782802165392,7673.859375,9.80061799145,289167,860759,332055,1000,4.33522545960898E-05,3.40266915237069E-05,1.61802806104817E-06,2.76808510311316E-06,7.31521517386118E-07,0.00142331316112453,8.83524375787533E-05, N/A , N/A
