Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
4.0 m, 5.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.138969494091754, 2.716708778920572, 5.320848380838216, 3820.953125, 10.26364697300001, 298922, 889878, 344091, 1000, 2.14437974849754E-6, 1.7026040388644956E-6, 5.115136771921987E-7, 4.826010087314945E-7, 1.572794633845251E-7, 4.659819985337732E-5, 5.813474982457804E-6, N/A , N/A
4.0 m, 5.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.12828203779359995, 2.5077801464945586, 5.070081046202125, 3980.3046875, 14.157999846150005, 406523, 1209605, 468019, 1000, 3.5877451520587217E-6, 2.8300393067063493E-6, 2.832313432639271E-7, 3.1270056407444337E-7, 6.710752213452676E-8, 2.1368619925183054E-4, 9.389236146917517E-6, N/A , N/A
4.0 m, 5.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.12971420026932942, 2.5357774303307226, 5.057009677146887, 4076.33984375, 18.819949205883297, 538034, 1601285, 617730, 1000, 4.598208704487544E-6, 3.616548564009927E-6, 2.880517895714876E-7, 3.0479605353430606E-7, 8.595153172192374E-8, 3.63053714259107E-4, 1.4307514725684208E-5, N/A , N/A
4.0 m, 5.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1344742155829952, 2.6288307689425343, 5.027317753902925, 4335.5546875, 24.134481593916647, 695604, 2070663, 794517, 1000, 2.0678515933123987E-6, 1.693283768310311E-6, 1.9506223228537228E-7, 1.6011353291439867E-7, 4.236301571451678E-8, 1.699989348845846E-4, 5.782978153291799E-6, N/A , N/A
4.0 m, 5.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13063134383651626, 2.5537066312448595, 5.045398421976753, 4780.19921875, 30.623440593850013, 875623, 2607356, 995360, 1000, 2.3040523843139813E-6, 1.82413251903588E-6, 5.370901499093401E-7, 3.7243337800391057E-7, 5.6197126096183275E-8, 2.3791004039232176E-4, 8.869075011602597E-6, N/A , N/A
4.5 m, 5.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13639199176196762, 2.666321294582494, 5.252703624531264, 3891.01953125, 10.545610109200004, 308795, 919163, 356043, 1000, 2.6668821534753653E-5, 2.095249554649187E-5, 9.615490126925578E-7, 1.3026214066375079E-6, 3.69445327329941E-7, 6.597535993636323E-4, 5.250031573363336E-5, N/A , N/A
4.5 m, 5.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1228552951834045, 2.401692984082308, 5.107076936971291, 4012.56640625, 14.502335177466692, 424701, 1263597, 489677, 1000, 2.8706596465360205E-6, 2.2744552013821127E-6, 1.6477898300329767E-7, 1.8621543156920546E-7, 4.115607498605648E-8, 1.3655727465230823E-4, 7.043886368165112E-6, N/A , N/A
4.5 m, 5.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.14222513595663594, 2.7803531844294995, 4.958480730667295, 4152.16796875, 18.599392682566652, 568433, 1691861, 652985, 1000, 4.588308293547682E-6, 3.6712169376980513E-6, 3.0365740239434467E-7, 3.741758403214297E-7, 7.064597746827541E-8, 3.461329537911332E-4, 1.5702542598487E-5, N/A , N/A
4.5 m, 5.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13178633120195474, 2.576285430539886, 5.0162027005713705, 4446.34375, 24.9447079333, 739484, 2201288, 844583, 1000, 3.9570246414300135E-6, 3.1971267177974266E-6, 8.605337689008124E-7, 5.193072761704715E-7, 8.477727566800937E-8, 4.94384179666506E-4, 1.7206666132969752E-5, N/A , N/A
4.5 m, 5.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.15460517759144402, 3.02237009621648, 4.963731978264359, 4938.91796875, 31.36461317868332, 938507, 2794880, 1066337, 1000, 5.4049876412076975E-5, 4.2433592679935564E-5, 1.074203060929028E-6, 3.865514182350548E-6, 1.0434571181163765E-6, 0.003615320498854962, 1.5562125285242782E-4, N/A , N/A
5.0 m, 6.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13079323586841007, 2.5568714517485076, 5.3514066870033865, 3818.19140625, 10.402930367350029, 316568, 941431, 365139, 1000, 6.742510349162311E-7, 5.833813556983782E-7, 4.332982984517522E-8, 3.8523997431855073E-8, 1.569108253772072E-8, 7.384586329683976E-6, 7.913874392023167E-7, N/A , N/A
5.0 m, 6.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1259578332668996, 2.4623443702261008, 5.080735453913395, 4028.51953125, 14.707897316016682, 444996, 1323518, 513209, 1000, 2.912663087538277E-6, 2.305512047783259E-6, 2.7066078245239886E-7, 2.4674703042317764E-7, 4.8747544616366726E-8, 1.92810864574831E-4, 8.480904311822264E-6, N/A , N/A
5.0 m, 6.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13354322630188603, 2.610630898750877, 5.017579888983209, 4195.0078125, 20.137981588783354, 602018, 1790941, 690845, 1000, 8.10169953101563E-6, 6.364123700381322E-6, 1.5332432404434534E-6, 7.012290664056547E-7, 1.5005397695072184E-7, 8.579418379192122E-4, 2.6246072735364053E-5, N/A , N/A
5.0 m, 6.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13529372860456138, 2.6448513944379295, 5.052070135257462, 4568.0234375, 26.22318048724998, 784528, 2335043, 895543, 1000, 2.3711371756231493E-6, 1.8797968934886068E-6, 6.451027741142242E-7, 3.3539407406216623E-7, 6.716466167048945E-8, 2.3214389708800312E-4, 8.291125137878848E-6, N/A , N/A
5.0 m, 6.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13183281670934535, 2.5771941737633246, 5.054430064263712, 5073.0390625, 34.36085189773337, 999368, 2975623, 1134085, 1000, 2.4274707280230462E-6, 1.9301224841701755E-6, 5.618747967696136E-7, 2.906884760737177E-7, 5.903467251076799E-8, 1.923228449607802E-4, 7.037216029156414E-6, N/A , N/A
