Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 20.0 mm, 20.0 mm, 0.30026743357528507, 0.3803222706799424, 16.924095607988292, 21.43625898484498, 10037.328125, 106.29999312559998, 2.8531666666666666, 7159712, 21397187, 7644263, 1000, 7.38517555390156E-4, 3.2764626892772234E-4, 7.072240810867876E-4, 9.53001597276232E-4, 0.04239276887392533, 0.06755321170857824, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 25.0 mm, 20.0 mm, 0.3083243576232001, 0.33939403591811695, 17.37821129835678, 19.12940422564695, 11227.20703125, 129.11750161953324, 2.718566666666667, 8155518, 24402796, 8606311, 1000, 2.9718420037407826E-4, 1.827764576433248E-4, 4.085668467824332E-4, 6.034683157748971E-4, 0.009554783361988324, 0.022064419831296853, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 30.0 mm, 20.0 mm, 0.29721233475790343, 0.38557232597275887, 16.751899829506524, 21.732169988795306, 9506.23828125, 99.69859842686668, 2.276, 6397243, 19122962, 6758422, 1000, 3.64760325722464E-4, 1.6133482423600002E-4, 3.963926169155076E-4, 5.670540907969604E-4, 0.008554560649744395, 0.011226469648210464, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 35.0 mm, 20.0 mm, 0.30000979070141065, 0.35421916910957363, 16.909573977792675, 19.96499924354777, 9029.8828125, 77.8816275167667, 2.05335, 4774276, 14265319, 5051641, 1000, 3.5402638379754145E-4, 6.31649793421078E-5, 4.912826847249853E-4, 4.1142054716917717E-4, 0.00817970826465604, 0.00781497277586289, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 40.0 mm, 20.0 mm, 0.30090961210329387, 0.36253894956510324, 16.960290977815816, 20.433930416636684, 8977.328125, 54.898568507183356, 1.7876666666666667, 3613249, 10792420, 3834326, 1000, 4.0047068368326814E-4, 4.420455437868722E-4, 0.0010025591461185587, 0.0015148627459616467, 0.0034513581323214492, 0.002529481173842284, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 45.0 mm, 20.0 mm, 0.2986535504138721, 0.40271375758238986, 16.833131654293236, 22.698319477485864, 8570.578125, 40.73134361401673, 1.4149, 2841515, 8488403, 3026512, 1000, 4.6085074042679313E-4, 4.0178194085437307E-4, 0.001046495641068893, 0.0013871901687561514, 0.016570306403597395, 0.007757366834974351, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 50.0 mm, 20.0 mm, 0.3029933780485008, 0.3793431341755422, 17.07773912615958, 21.381071515406724, 9136.2578125, 90.11240547203353, 1.7781833333333332, 5941511, 17788610, 6231716, 1000, 3.1568137466934834E-4, 4.981982348480639E-4, 8.658544714105367E-4, 0.0013637794826731628, 0.004061683740443968, 0.009958844853321632, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 55.0 mm, 20.0 mm, 0.296454775739856, 0.3848127163426729, 16.70920122214352, 21.689355801951095, 8785.15234375, 76.70417027933333, 1.6777166666666667, 5165770, 15466774, 5438518, 1000, 2.070915287649387E-4, 3.4753147348957653E-4, 6.89130451191303E-4, 0.0011524131194570193, 0.013184964694268064, 0.005411332714585533, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 60.0 mm, 20.0 mm, 0.3040680583376731, 0.4013652282014307, 17.138311768838168, 22.622311766953345, 8689.3203125, 72.49751219160011, 1.6151166666666668, 4961749, 14838857, 5215370, 1000, 2.1052828111622803E-4, 3.4046506918464204E-4, 6.885990856586063E-4, 9.766972429071253E-4, 0.005698812895377429, 0.006151023003568134, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 65.0 mm, 20.0 mm, 0.3016860344290374, 0.3423450975022299, 17.00405278547041, 19.2957361111928, 8573.88671875, 60.87234548561671, 1.4780833333333334, 4160768, 12444172, 4387281, 1000, 2.5972459814708375E-4, 3.4269712054224496E-4, 7.138509872771326E-4, 0.0012050450413227675, 0.006652639029113531, 0.0026874836117513285, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 70.0 mm, 20.0 mm, 0.3009893716562916, 0.3594189632698014, 16.96478649797433, 20.258077358818934, 8556.19921875, 53.852511532983364, 1.4299333333333333, 3714387, 11106132, 3917495, 1000, 2.9027591314966997E-4, 2.9627813239926557E-4, 7.419555279587422E-4, 9.269458378070745E-4, 0.0075219241813692436, 0.003559199059828377, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 75.0 mm, 20.0 mm, 0.30136941750329993, 0.3640050941767122, 16.98620717677923, 20.516567322299597, 8642.78125, 45.146642645000036, 1.3262, 3150761, 9420766, 3334412, 1000, 1.9829668844663424E-4, 1.4485160034376853E-4, 5.534069125723832E-4, 5.868824847684105E-4, 0.02032956987809826, 0.005312880286177636, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 80.0 mm, 20.0 mm, 0.2987444607196815, 0.3651364849832832, 16.838255668872343, 20.58033636295917, 8642.7890625, 31.54372956374997, 1.2691833333333333, 2825127, 8446793, 2992647, 778, 2.6455385207366277E-4, 3.4736827007668424E-4, 9.83613099639267E-4, 0.0012143219553663832, 2.0311262503442043E13, 2.6790176720938725E14, A floating point error has occurred. The following error has been logged:  A non-finite residual (Tdr) was added by star.keturb.KeTurbSolver. Typical causes are overflow/ underflow/ or a division by zero.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 85.0 mm, 20.0 mm, 0.30258377915110934, 0.3607848740973313, 17.054652736743858, 20.33506474690112, 8642.7890625, 36.61999765625006, 1.2129833333333333, 2583055, 7723554, 2737618, 1000, 2.2903603562411413E-4, 1.1970959992974115E-4, 6.036024978084773E-4, 5.208170498061174E-4, 0.009355314300758335, 0.009473434531825987, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 90.0 mm, 20.0 mm, 0.3033024245840162, 0.3803243084517783, 17.095158041864497, 21.436373840608617, 8512.04296875, 32.13134958679999, 1.20955, 2306918, 6898186, 2450028, 1000, 2.11194004922285E-4, 0.001527576794488864, 0.0041966443558902455, 0.0033120241313018437, 0.0024516719418758055, 0.009251907908627193, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 95.0 mm, 20.0 mm, 0.3064862586402785, 0.4027754832580774, 17.27460977702792, 22.701798546875324, 8978.0625, 88.2405147609334, 1.5731166666666667, 5892112, 17649857, 6156393, 1000, 1.1501201446431366E-4, 0.0019831075811820127, 0.005377371278885087, 0.0038353615645905707, 0.0023098614833253106, 0.0031259572975870955, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.31274938392784135, 0.39704284922995947, 17.6276208575484, 22.378687761192502, 8770.98046875, 82.48920574433313, 1.5763333333333334, 5491335, 16449857, 5748227, 1000, 1.4957817526322425E-4, 6.004635221762277E-4, 0.005906389076542749, 0.004539119730639231, 0.005705915933427437, 0.0035481001318096285, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 10.0 mm, 40.0 mm, 150.0 mm, 3.0 mm, 20.0 mm, 20.0 mm, 0.3221673333554323, 0.3804057931307478, 18.15844857551264, 21.440966594744637, 9670.09375, 95.59543299968306, 2.3646833333333332, 6550100, 19576828, 7005734, 1000, 9.046095772704557E-4, 3.5377666682286443E-4, 7.255602699505021E-4, 0.0010646611180621804, 0.023613787030564135, 0.07294646068870013, N/A , N/A
