Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 90.0 mm, 20.0 mm,0.298644463226777,0.397854098379844,16.8326194694673,22.4244125273154,3535.484375,16.2807149694166,0.981383333333333,1118291,3335576,1189609,1000,0.000780734100015216,0.000140246164972808,0.000641832763615398,0.000429709867165638,0.00227285140943914,0.0029154659204085, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 95.0 mm, 20.0 mm,0.293072361678399,0.392069109713816,16.5185568412985,22.0983508558606,3547.71484375,17.6600870959166,0.970583333333333,1194702,3561529,1264028,1000,0.000857645714611228,0.000117752628476442,0.000915125782381804,0.000473102705527651,0.0031536241287878,0.00540506089075654, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm,0.296869568899823,0.363001485835408,16.7325803778956,20.4600005367546,3587.74609375,18.74903305525,1.00506666666667,1266147,3778907,1343085,1000,0.000768705933212988,8.63868684655566E-05,0.0006819584406105,0.000367429138183363,0.0076632873286848,0.00169444610730793, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 105.0 mm, 20.0 mm,0.295135570928768,0.404077194627116,16.6348463442817,22.7751674347407,3650.30078125,21.8006959900667,1.05761666666667,1352494,4041286,1435237,1000,0.000729317505744963,0.000141364064577813,0.000809169593270947,0.000704815358350812,0.00329840239603491,0.00826069958154319, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 110.0 mm, 20.0 mm,0.29028218953123,0.370284012419239,16.3612932325908,20.8704685475706,3753.41015625,24.2965421721333,1.22593333333333,1552050,4638997,1644923,1000,0.000304917831628388,0.000465048543015153,0.00117911153269156,0.000799258667610019,0.00239682060740421,0.00350850024045802, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 115.0 mm, 20.0 mm,0.288801537428682,0.375995605389661,16.2778386353096,21.1923933875519,4252.6015625,32.7446587286167,1.2398,2083849,6214799,2187786,1000,1.26359826835968E-05,4.70216862324854E-05,0.000112207540201425,6.53235463043099E-05,0.000394301714397693,0.000134484697615661, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 120.0 mm, 20.0 mm,0.290134444135607,0.37101372545039,16.352965798705,20.9115976602371,4263.3828125,29.1058701921833,1.08838333333333,1934023,5768402,2031750,1000,3.34300902916421E-05,5.12304915841515E-05,0.000162656078942896,9.83153684219381E-05,0.00269604651050144,0.000202048377236571, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.285090737483542,0.364252518995037,16.068685307205,20.5305130280702,4367.8125,26.7807778251667,1.15023333333333,1815589,5415865,1908194,1000,0.000791039895632997,0.000300632616881333,0.00208848770169252,0.00118323132891755,0.0324436374602472,0.00753383920005689, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 130.0 mm, 20.0 mm,0.291282485773752,0.37300596632756,16.4176733369637,21.023887143908,4324.26171875,24.84598405685,1.05755,1665323,4967592,1752669,1000,2.97489504378765E-05,6.6760597365712E-05,0.000143219077078729,9.20586895551008E-05,0.00026251771267937,0.000262129271442783, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 135.0 mm, 20.0 mm,0.285474752299858,0.368594488464139,16.090329690643,20.7752412210249,4289.28515625,23.3805595601667,1.09098333333333,1559271,4650897,1641492,1000,7.91565663383904E-06,2.03462683539041E-05,6.14426948177549E-05,3.40970946274512E-05,0.000199804242917249,3.98467516472152E-05, N/A , N/A
