Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 20.0 mm, 20.0 mm,0.289495990506425,0.367455821707627,16.3169803768665,20.7110620830365,18032.71484375,96.5184181220336,2.85311666666667,6039326,18037103,6463574,1000,0.000169886954303366,3.48897552239399E-05,6.41876300238497E-05,6.69176496845815E-05,0.0108766867915402,0.00559604617919824, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 25.0 mm, 20.0 mm,0.291069847972242,0.391926994092773,16.4056883459849,22.0903407352515,17523.796875,83.3558055128,2.78945,4179649,12477372,4467597,1000,0.00165219868912926,0.000216190086903256,0.000554855190979458,0.000574248894148032,0.0147653855243019,0.0283962757389539, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 30.0 mm, 20.0 mm,0.289774826739111,0.367040851132368,16.3326965369734,20.6876729275542,17524.421875,53.8187333737,2.3994,3825278,11408919,4065179,1000,5.70482228188291E-05,1.01234196760919E-05,2.36349691050335E-05,1.88726394526453E-05,0.00484988378439442,0.00076006783879093, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 35.0 mm, 20.0 mm,0.292318487608839,0.377684925522945,16.4760659301873,21.2876092260056,17425.28125,39.5340160148,1.40286666666667,2876763,8574642,3053712,1000,2.79755517136834E-05,2.3759547900982E-06,1.35310760864448E-05,6.9571325146016E-06,0.000662191409365208,0.000230713859547505, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 40.0 mm, 20.0 mm,0.289887597542124,0.368505676545214,16.3390526836566,20.7702354786801,17425.40625,29.8749448040167,1.20306666666667,2210243,6584925,2348573,1000,0.000100386155444648,4.74402067529019E-05,8.25578692947341E-05,9.5006072240199E-05,0.00175233681102696,0.000435138619649281, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 45.0 mm, 20.0 mm,0.295644783624918,0.398125298275506,16.6635473067931,22.4396982774496,17425.53125,22.70440461385,1.09056666666667,1711107,5098729,1826141,1000,0.00181310538381445,0.000619773660968038,0.00144618148997749,0.00157634570377345,0.0186485295039944,0.0111001313555922, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 50.0 mm, 20.0 mm,0.297161911402011,0.348622738847291,16.7490577973693,19.6495653661721,17425.65625,23.2601982358166,1.05918333333333,1749085,5214392,1860098,1000,0.00157004806499148,0.000360844752890207,0.000865867590958094,0.000939316634702849,0.00515635631173622,0.0059740826328203, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 55.0 mm, 20.0 mm,0.291485031932263,0.357714380208005,16.4290895285595,20.1620012497115,17425.65625,25.5816045158667,1.09475,1929659,5760573,2050263,1000,0.000650524318415292,0.000146793091990948,0.000355241150286737,0.000394239237888359,0.00926513551402004,0.00797124975904317, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 60.0 mm, 20.0 mm,0.290436476120295,0.366867439768071,16.3699893504257,20.6778988722264,17425.65625,31.5961071983168,1.07618333333333,2330438,6947035,2459192,1000,2.51686878595339E-05,1.64647038770064E-05,3.52511954735942E-05,2.82680315131297E-05,0.00280955702033167,0.000170714722917926, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 65.0 mm, 20.0 mm,0.290420912060818,0.362584268987197,16.3691121070048,20.4364847736753,17426.03125,26.6144405776333,1.02435,1982321,5909715,2095144,1000,2.39565327676731E-05,1.1214851067044E-05,2.5251048450623E-05,2.1854930004882E-05,0.00210513557013946,0.000130554235562509, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 70.0 mm, 20.0 mm,0.292617353436628,0.380447547939284,16.4929110265177,21.443320038018,17426.03125,23.45634430825,0.96615,1757484,5237254,1856178,1000,1.58438029430217E-05,4.72746072265606E-06,1.33686838661541E-05,8.73815812006573E-06,0.0014857523203852,9.6324913783448E-05, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 75.0 mm, 20.0 mm,0.289837976787214,0.365263150723933,16.3362558888453,20.5874756756694,17426.03125,20.0915193363833,0.930033333333333,1520205,4531505,1610734,1000,1.48124753072909E-05,4.0602382750044E-06,1.17869455001319E-05,6.98804706605014E-06,0.000855052698850536,0.000205036609209024, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 80.0 mm, 20.0 mm,0.290596743755204,0.363353969330585,16.3790225803827,20.4798677075016,17426.03125,18.4010434785166,0.893383333333333,1383392,4123944,1466777,1000,2.60274053690297E-05,8.11774931840304E-06,2.71003397564794E-05,1.47333619427762E-05,0.00354644605555751,0.000267924794540932, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 85.0 mm, 20.0 mm,0.295649936331514,0.380842661875743,16.6638377308929,21.4655900056834,16692.05859375,16.2019433170667,0.887083333333333,1240583,3698403,1316973,1000,0.000145778602155634,2.19663538073852E-05,9.47885680623073E-05,6.0177048802264E-05,0.00574652891679962,0.00222720299366858, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 90.0 mm, 20.0 mm,0.300925040453209,0.345345793517093,16.9611605721835,19.4648655623669,16692.18359375,14.9309232320667,0.8674,1141148,3404151,1213996,1000,0.000883657759432908,0.000138362346165962,0.000679383862411642,0.000409763753799731,0.00256180778040902,0.00245470611447956, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 95.0 mm, 20.0 mm,0.292627645613319,0.401578261323906,16.4934911286629,22.6343190395687,16692.18359375,16.0068022796833,0.881433333333333,1222180,3643595,1292969,1000,0.000901309735412679,0.000120578321092333,0.000971766377087512,0.000531157203455818,0.00276240035398174,0.00579049385853106, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 250.0 mm, 3.0 mm, 100.0 mm, 20.0 mm,0.296665246302616,0.375461611175217,16.7210640601623,21.1622956542355,16692.18359375,16.95471595125,0.875716666666667,1295033,3865248,1373653,1000,0.000760124012780254,9.04445932088241E-05,0.000746324089584074,0.000472244952755816,0.00662294810380388,0.00139868958399268, N/A , N/A
