Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF Coef [],Drag Coef [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
2.0 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.290601596542532,0.571955230229593,2.84362776260806,5.59676130826664,3754.7734375,8.1407143805,242681,724132,276424,1000,4.10434520913831E-06,3.22431847547356E-06,6.64991707331506E-07,5.30853613208454E-07,7.43100503319178E-08,0.000176034875617243,9.59879074489641E-06, N/A , N/A
2.0 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275132814054267,0.563544548888578,2.69226087453614,5.51446015353001,3786.3984375,9.99396770506667,290706,866855,332789,1000,6.54021543935223E-06,5.13618232687056E-06,6.91453619746919E-07,8.61716708219167E-07,1.22766023250204E-07,0.000319959943559351,1.89252416270864E-05, N/A , N/A
2.0 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.297833735650835,0.563315974504364,2.91439651197522,5.51222348149343,3859.5546875,11.91911099125,350197,1043643,402028,1000,3.85005351479678E-05,3.02169514614447E-05,1.07466451321298E-06,3.54186644975386E-06,5.20878473464832E-07,0.00264901404488343,0.000135916579332091, N/A , N/A
2.0 m, 1.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.295770862772385,0.562623551183883,2.89421065388743,5.50544790214003,3954.24609375,13.9975664238834,422337,1258013,484918,1000,1.25962457240017E-06,1.0002504088566E-06,5.82381936202223E-07,4.36273974089816E-07,4.49838333801337E-08,0.000146819519675683,5.25849768788882E-06, N/A , N/A
2.0 m, 1.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.302597005778294,0.558733648020411,2.96100660406142,5.46738397970771,3993.72265625,16.5967171617166,506564,1508262,581189,1000,1.53232178039526E-06,1.21145658040763E-06,4.52556020841443E-07,3.69189646697904E-07,3.61947275662669E-08,0.000160026079804787,7.30371958705523E-06, N/A , N/A
2.5 m, 1.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.284674984503411,0.540264752197334,2.78563400506109,5.2866600417388,3755.22265625,8.24102820453333,252554,753472,288493,1000,1.64691022448634E-06,1.30324482278965E-06,1.6090750448288E-07,2.22022619369499E-07,2.86376786459418E-08,6.09313215337652E-05,3.24596623244793E-06, N/A , N/A
2.5 m, 1.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.270973164145821,0.5359502844304,2.65155739560444,5.24444162150677,3776.1875,10.0793081667667,310491,925424,356095,1000,1.33706292439298E-06,1.06295222193875E-06,1.47239105152341E-07,1.96347943845784E-07,3.07721487112287E-08,8.41643310411587E-05,3.80221243217772E-06, N/A , N/A
2.5 m, 1.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275112555877148,0.520731718948277,2.69206264191952,5.0955231853147,3888.671875,12.5873444347,381631,1136910,438138,1000,4.61311010098701E-06,3.62450784622005E-06,3.20503241430171E-07,6.90669455229743E-07,7.33641904157105E-08,0.000421527330825683,1.50569627254882E-05, N/A , N/A
2.5 m, 1.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.250998492138632,0.531933812897037,2.45609896542228,5.20513918787983,3971.6328125,15.7810840454834,468586,1395250,537121,1000,3.12820660181062E-05,2.45516255583711E-05,1.34026315454312E-06,3.79263999442652E-06,4.00248063349085E-07,0.00308432838242368,0.000130342447421402, N/A , N/A
2.5 m, 1.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.261056855963157,0.537643135351608,2.55452321001739,5.26100669869415,4096.0234375,19.0388484612166,567546,1690300,650058,1000,3.85435306587073E-06,3.03037952356914E-06,5.74377052109739E-08,5.35027504555112E-07,5.4202619641584E-08,0.0003577841302883,1.75543701438475E-05, N/A , N/A
