Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF Coef [],Drag Coef [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
3.0 m, 2.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.280970482174877,0.550357940116887,2.74938428794529,5.38542505102553,3757.5234375,8.34831195801667,262234,782116,300277,1000,1.19323230974328E-06,9.56651357505206E-07,2.85335304320671E-07,3.57516653083294E-07,8.58002663852449E-08,3.01944303784281E-05,3.65168865812404E-06, N/A , N/A
3.0 m, 2.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.271780706125808,0.52473976387579,2.65945944714539,5.13474316196059,3841.46484375,11.1735922044667,331315,987082,380137,1000,1.84347492385566E-06,1.45732933876193E-06,2.09036895236246E-07,2.55529372892905E-07,3.24464029664978E-08,0.000105748783719971,6.30575422133185E-06, N/A , N/A
3.0 m, 2.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.254333955466369,0.5212387361597,2.48873752017477,5.10048450774264,3901.23046875,13.7758466338,413950,1233017,475341,1000,5.66502172555877E-06,4.44951681218382E-06,3.36551075024259E-07,6.11747085393283E-07,7.96932849418556E-08,0.000490136557377505,1.89926980429416E-05, N/A , N/A
3.0 m, 2.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.285953875450113,0.523254008925252,2.798148354069,5.12020458379705,4031.02734375,16.8223814555834,516049,1536854,591340,1000,9.35052166277477E-07,7.55009632352656E-07,3.15080659245879E-07,9.6689728119168E-08,1.52422259970094E-08,0.000101096906403092,3.03237005515562E-06, N/A , N/A
3.0 m, 2.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275827820028955,0.52669997282657,2.69906172597094,5.15392442131797,4205.44921875,21.2502950698834,631578,1880834,721915,1000,1.07044178568013E-06,8.60164180282053E-07,1.76242357501437E-07,1.59672615029958E-07,1.84466069559186E-08,0.000117593300340394,4.22192115481251E-06, N/A , N/A
3.5 m, 2.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.283367049894849,0.544018729002656,2.772835454713,5.32339388212649,3797.28125,8.79584917088332,272163,811160,311954,1000,5.7337221569481E-07,5.07354582341816E-07,7.81785703193253E-08,2.53493950015405E-08,1.03647605751188E-08,1.30694686083567E-05,8.23799584152193E-07, N/A , N/A
3.5 m, 2.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.276160250076871,0.523289260041323,2.70231465824876,5.1205495270235,3865.4140625,11.19160422095,350384,1043483,402370,1000,2.24504864106598E-06,1.77514281696486E-06,6.29751859213465E-07,5.58932487971185E-07,1.18616913844243E-07,0.00014499522837706,8.03971651706831E-06, N/A , N/A
3.5 m, 2.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.282490599839067,0.51363456049486,2.76425911603898,5.02607526398915,3923.69140625,14.5166849890333,447056,1331060,512701,1000,5.32240372636519E-06,4.18242537799489E-06,5.91590869108456E-07,5.88365080045621E-07,9.45596115340874E-08,0.000596675335748147,1.83982584754337E-05, N/A , N/A
3.5 m, 2.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.26886363142511,0.519967618641135,2.63091495632635,5.088046224167,4056.890625,18.5104924158333,561097,1670505,642119,1000,1.04239351708522E-05,8.18811439872378E-06,2.95250004458214E-07,1.28910535987897E-06,1.68200617206626E-07,0.00106625787324267,3.58534640204267E-05, N/A , N/A
3.5 m, 2.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275973983671636,0.51492512765017,2.7004919830554,5.03870386836026,4323.80859375,23.3289413059667,693700,2065700,791402,1000,2.9303644857887E-06,2.30843045113123E-06,5.0334049969554E-07,4.02275404364618E-07,4.91414899872194E-08,0.000408299178175559,1.10214514785117E-05, N/A , N/A
4.0 m, 3.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.267778846712115,0.546070903641087,2.62029999769217,5.34347505458043,3805.48046875,9.04788564205001,280090,834571,321697,1000,1.11988609452008E-06,9.02418735318549E-07,3.93305947576176E-08,5.67714521570618E-08,1.8057549886861E-08,3.70845532133795E-05,2.20093959795563E-06, N/A , N/A
4.0 m, 3.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.27815940879818,0.518757319630574,2.72187705332645,5.0762030687665,3906.27734375,12.2301979626333,367487,1094381,422936,1000,3.41985501238299E-06,2.6940819360703E-06,7.53000671842885E-07,5.70653437619957E-07,1.24944522347586E-07,0.000200934723660793,9.32216546303329E-06, N/A , N/A
4.0 m, 3.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.271714828978907,0.521321289790312,2.65881481860213,5.10129232090921,4031.55078125,15.6246054591,476832,1420010,547758,1000,2.00320455664498E-06,1.60745248639087E-06,7.99573578183879E-07,5.38656754155139E-07,9.76681801682177E-08,0.000151971531627198,7.49062098370214E-06, N/A , N/A
4.0 m, 3.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.278690445395934,0.515374955241617,2.72707341298277,5.04310557242054,4190.38671875,20.4386086065834,605078,1801893,692634,1000,4.12874497054078E-06,3.24746058377404E-06,9.8460455285824E-07,6.61761436290637E-07,9.1952786218007E-08,0.000583404627605844,1.67380266811037E-05, N/A , N/A
4.0 m, 3.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,6.48607201756856,-3.01807981823862,63.4682488977097,-29.5328575720827,4455.70703125,8.02148918436667,753804,2244576,858726,341,0.243959573530197,0.198580077901058,0.025836309036064,0.132791873193854,0.01208039279268,50.832975047258,4.33805731954337, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
4.5 m, 3.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.269070393331425,0.54349290618172,2.63293818642571,5.31824854091152,3766.5625,9.64012038621666,289790,863200,333286,1000,1.31082675241548E-05,1.02916154871722E-05,7.18534672602722E-07,1.10432690900901E-06,2.95674002536025E-07,0.000598440472905581,2.74761431678702E-05, N/A , N/A
4.5 m, 3.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.271676596910815,0.521899408350752,2.65844070582525,5.10694939233657,3883.01953125,12.7852680058667,387330,1152912,445883,1000,5.8012913922185E-06,4.61979397786867E-06,1.03189404111265E-06,7.43512434201306E-07,1.63794285803467E-07,0.000343543986267058,1.70218516229228E-05, N/A , N/A
4.5 m, 3.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275136907099988,0.519055686028367,2.69230092627221,5.07912267754459,3960.6953125,16.4658958350334,507025,1509411,582355,1000,2.61421142375636E-06,2.07039663290094E-06,9.13502339438312E-07,5.80593195306846E-07,1.11603606697961E-07,0.000148240260572112,9.22439806274224E-06, N/A , N/A
4.5 m, 3.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.252623375877663,0.51890153260845,2.47199896241573,5.07761423798406,4249.3125,21.7480618821833,650544,1936818,743754,1000,2.60174424523247E-06,2.0639374159105E-06,3.39163127875486E-07,1.95870469866933E-07,4.97934692198068E-08,0.000148719429777449,7.55614321307377E-06, N/A , N/A
4.5 m, 3.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.255917700543101,0.516077832123657,2.50423496245544,5.04998344315231,4604.6015625,27.7223058540167,815096,2427139,927606,1000,3.09001155582601E-06,2.4360985577852E-06,3.98240975526687E-07,3.08217850631408E-07,4.55091667896786E-08,0.000351582983869107,1.23500703849964E-05, N/A , N/A
5.0 m, 4.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.279593518946142,0.539828618167992,2.73591027089959,5.28239233347838,3823.35546875,10.2468023866667,298637,889043,343884,1000,3.03131082213131E-05,2.37943640382289E-05,1.63565534425358E-06,2.33251780743978E-06,5.94777440909785E-07,0.00101262679120364,6.38711147252634E-05, N/A , N/A
5.0 m, 4.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.271778786303113,0.519755805842839,2.65944066107821,5.08597356950551,3914.109375,13.28881909595,406750,1210330,468405,1000,3.85961368059874E-06,3.26057359896935E-06,6.45567368602694E-07,4.67118769494244E-07,1.19486020118625E-07,0.000210724338079044,9.73673462384591E-06, N/A , N/A
5.0 m, 4.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.25230702457166,0.518328557883659,2.46890336567026,5.07200750060177,4066.96484375,17.8913045031667,538597,1603213,618566,1000,2.34445369788232E-06,1.89780113695754E-06,4.27440043711761E-07,2.61390794800874E-07,6.20404520113538E-08,0.000178552343821701,7.11586005577049E-06, N/A , N/A
5.0 m, 4.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.245450780972838,0.515236304131753,2.40181287175426,5.04174882782582,4359,23.5507869401333,696028,2072131,795117,1000,6.22738922323426E-06,4.8937155531301E-06,3.49962776172768E-07,6.97864684314418E-07,1.01953722380765E-07,0.000644304121807787,2.29532491031991E-05, N/A , N/A
5.0 m, 4.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.255961089701917,0.52043185371975,2.50465953898246,5.0925889100078,4742.09765625,30.3917147987167,874812,2604961,994676,1000,9.21266177045334E-06,7.23518937147684E-06,3.27042431630643E-07,4.8369441482087E-07,1.55990125740697E-07,0.000893576899594548,3.07666199216967E-05, N/A , N/A
5.5 m, 4.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.283294410048062,0.546239603474237,2.77212465103039,5.34512583535659,3798.7578125,10.2402867812833,308197,916931,355096,1000,1.68911570148231E-05,1.32685744737507E-05,1.04030051537887E-06,1.23201575982242E-06,3.4262547150738E-07,0.000819706097238252,3.59144284556996E-05, N/A , N/A
5.5 m, 4.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.288214117257231,0.519369773752417,2.82026552902398,5.08219612443074,4013.19140625,13.90167818355,427181,1270642,491893,1000,2.08547024512756E-06,1.83914642588637E-06,8.33835335054988E-07,5.00910899118275E-07,1.29966233594441E-07,7.47528497550534E-05,6.97741346705055E-06, N/A , N/A
5.5 m, 4.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.275769226265873,0.518672017482294,2.69848836762261,5.07536836049254,4120.60546875,19.1018282309167,570282,1697268,654888,1000,3.26022671473145E-06,2.57155675181664E-06,9.38841513238646E-07,4.43530249398472E-07,8.30856444637163E-08,0.000254596998579671,1.08537623482885E-05, N/A , N/A
5.5 m, 4.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.255117544959393,0.516970670669491,2.49640518911865,5.05872014834136,4410.39453125,25.0183507954167,740602,2204531,845948,1000,3.77936812218596E-06,3.0357183855051E-06,9.36215479019686E-07,4.98899251798481E-07,1.05771027020816E-07,0.000243704086756406,1.26688524329049E-05, N/A , N/A
5.5 m, 4.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.263149345277646,0.519629490803631,2.57499887422033,5.08473753723109,4913.78515625,32.6484753716666,937893,2792590,1065122,1000,2.8788080870449E-05,2.25934949879741E-05,3.52848238483182E-07,1.76490063219498E-06,7.05837842333163E-07,0.00199785362920899,8.65718012308123E-05, N/A , N/A
6.0 m, 5.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.264132615522635,0.543411618992757,2.58462048194741,5.31745312027367,3870.265625,11.2162226639834,319097,949112,368030,1000,9.10780508189747E-07,7.57764273142012E-07,3.35462889547304E-08,2.85610511207778E-08,1.6197841639271E-08,2.21481834881046E-05,1.3299917557498E-06, N/A , N/A
6.0 m, 5.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.272838994149254,0.518562812998476,2.66981512736226,5.07429976036893,4044.96484375,15.1972826876166,446847,1328888,515114,1000,1.19399648020677E-06,1.03524359937015E-06,3.80535868980552E-07,2.19768241111107E-07,6.02420454548432E-08,4.64028892595023E-05,3.74702085162367E-06, N/A , N/A
6.0 m, 5.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.267155562214797,0.517185122155939,2.61420096340722,5.06081862339398,4197.64453125,20.43538915245,601935,1790732,690709,1000,1.12654848819389E-06,1.08474340155802E-06,4.61408046073444E-07,2.3031125357221E-07,5.21683546279427E-08,4.52672246838688E-05,3.92140833688797E-06, N/A , N/A
6.0 m, 5.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.27876410147889,0.508607197043273,2.72779416085501,4.97688093589962,4525.2734375,28.19901882855,786875,2341919,897968,1000,3.59505761250073E-06,2.83343913110855E-06,3.67862831314735E-07,3.59788557531948E-07,7.76639097563929E-08,0.000355369509852112,1.25603736476338E-05, N/A , N/A
6.0 m, 5.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.249618708421808,0.51100254421289,2.44259734901605,5.00032015919931,5054.08203125,36.2265281384501,998863,2973932,1133447,1000,2.32974068355382E-06,1.84690527610042E-06,4.7256452479475E-07,2.50230739851757E-07,4.12804855041023E-08,0.000259202892545091,8.65672332048591E-06, N/A , N/A
1.0 m, 2.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.280045589362404,0.549447582275586,2.7403339217041,5.37651691403581,3859.6796875,8.57167651275001,243159,725685,276803,1000,0.000110852559342808,8.70092274104853E-05,7.35964956113069E-07,1.16858153807184E-05,1.40815882038846E-06,0.00321242211478554,0.000253266145443344, N/A , N/A
1.0 m, 2.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.273851924321598,0.537526734430652,2.67972696678067,5.25986767917616,3882.0546875,10.2203953784333,291158,868119,333109,1000,1.08488309779095E-06,8.6325919222381E-07,1.19332687158967E-07,1.39105984996314E-07,1.72803196678021E-08,7.41661714093657E-05,3.13682485510087E-06, N/A , N/A
1.0 m, 2.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.26842037194127,0.525922168299121,2.62657752325894,5.14631336007656,3954.9375,12.7836088397333,351257,1046123,402222,1000,6.40912033133746E-05,5.03010016370835E-05,9.7753347438623E-07,5.31791581844479E-06,7.31274208907805E-07,0.00469490195564267,0.000224303941089069, N/A , N/A
1.0 m, 2.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.288931677738561,0.530437476021097,2.82728708337997,5.19049706225746,4017.875,14.82160835035,422992,1260075,485615,1000,6.84553676138207E-07,5.56119746865989E-07,1.23984554299194E-07,1.40137965729774E-07,1.22403836297107E-08,8.034889551932E-05,2.54783873788277E-06, N/A , N/A
1.0 m, 2.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.278261282591849,0.529812543456128,2.72287392034785,5.18438190111366,4114.60546875,18.16610801475,508327,1513338,583008,1000,5.21938023459476E-06,4.09893334104724E-06,8.13566217272297E-07,7.49829117733628E-07,6.27060415357975E-08,0.00066760877620135,2.07369447686177E-05, N/A , N/A
1.5 m, 2.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.256434021093457,0.548944541887033,2.50928732097262,5.37159450606689,3834.796875,8.60346365191665,250601,747496,286088,1000,1.07043038729073E-05,8.40340225808987E-06,2.52000889109188E-07,8.4308898463519E-07,1.431291450274E-07,0.000375738958085095,2.31464675507415E-05, N/A , N/A
1.5 m, 2.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.261581011763508,0.528387920304614,2.55965223891311,5.17044151677614,3852.421875,10.5025975304,308331,918612,353059,1000,4.37174470490307E-06,3.43595087236447E-06,2.28589380570042E-07,4.62033660375857E-07,6.54314397050757E-08,0.000301864590323679,1.20875665995644E-05, N/A , N/A
1.5 m, 2.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.299394677160632,0.51533494742581,2.92967081420162,5.04271408339535,3935.359375,12.96777173915,381781,1137028,437748,1000,4.4377468965892E-06,3.486515718027E-06,6.18100713987885E-07,7.8217706630083E-07,8.6728407487209E-08,0.000491810158381525,1.63048208652725E-05, N/A , N/A
1.5 m, 2.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.28116601126373,0.521721677789764,2.75129760140287,5.10521024305624,4045.78515625,16.5506595228167,466413,1389063,535047,1000,2.21202869922331E-06,1.74438777143992E-06,3.33260900653428E-07,3.89052168003806E-07,3.2025249246567E-08,0.000292909333000148,8.88062134893853E-06, N/A , N/A
1.5 m, 2.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.280456796280514,0.523590804467468,2.7443577103633,5.12350023380573,4185.95703125,19.60850168685,568969,1693823,650756,1000,2.02444792496608E-06,1.59812741446335E-06,5.0838938390628E-07,4.07256950089863E-07,3.94239749404551E-08,0.000259213802530857,8.8698115838283E-06, N/A , N/A
2.0 m, 3.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.289248755675124,0.545047937626754,2.83038979043337,5.33346501130066,3834.91015625,9.0152650702,263430,785639,301374,1000,2.05490670749248E-06,1.62282970598992E-06,2.15484408944808E-07,2.83668174534787E-07,7.18484757099983E-08,6.66849485672205E-05,4.76665955978384E-06, N/A , N/A
2.0 m, 3.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.274296646115877,0.51112141064792,2.68407870901434,5.00148330454578,3932.23828125,11.5662583774834,329819,982639,378361,1000,1.22178666386479E-05,9.58989645327155E-06,1.4593449229171E-06,1.2935341952519E-06,1.80584299922568E-07,0.000771375207166721,3.56523793642474E-05, N/A , N/A
2.0 m, 3.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.246440977942396,0.516514028962449,2.41150225965366,5.05425176602289,4032.29296875,14.8124892669833,412963,1229962,473889,1000,1.70735201250805E-05,1.34018906223846E-05,9.80480852044573E-07,2.12620501693502E-06,2.48234097332439E-07,0.00146911862532958,5.28938284894406E-05, N/A , N/A
2.0 m, 3.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.259607015517518,0.518866203500963,2.54033606654804,5.07726853158715,4131.4921875,18.5688456147333,513531,1529299,588404,1000,4.22787243390235E-06,3.32365542104118E-06,1.13993749491173E-06,5.50243679032095E-07,6.40239235519814E-08,0.000477268340987612,1.69869852431855E-05, N/A , N/A
2.0 m, 3.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.259892660270851,0.523369502746778,2.54313119004525,5.12133472706263,4237.40234375,22.5996919897167,630023,1876058,719846,1000,9.43803531900863E-06,7.40964244960425E-06,2.62557092755763E-06,1.56968242784541E-06,1.64452993413577E-07,0.00125172225390489,4.02043638384362E-05, N/A , N/A
2.5 m, 3.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.250598432963109,0.547169447984208,2.45218426092052,5.35422465551078,3877.02734375,9.32528491396669,268842,801128,307901,1000,2.86070056275373E-06,2.25377785446072E-06,1.09501382509933E-07,1.64271847329205E-07,3.81268057331902E-08,8.23398956019848E-05,5.78704658086279E-06, N/A , N/A
2.5 m, 3.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.27541387457568,0.518243943270582,2.69501113988627,5.07117952007541,3910.00390625,11.7951879928667,346508,1031915,398105,1000,3.01144934151782E-06,2.37441235223122E-06,1.25191361049416E-06,9.85075971527124E-07,2.01928169694619E-07,0.000155615398641567,1.14375896270196E-05, N/A , N/A
2.5 m, 3.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.27217801696312,0.518958217555375,2.6633472582958,5.07816891796764,4051.16796875,15.4186502341167,442352,1317237,507831,1000,3.56153209371453E-06,2.80228340556863E-06,6.32612351528559E-07,5.39463417333256E-07,8.24200132276468E-08,0.000307111560407758,1.15203678474753E-05, N/A , N/A
2.5 m, 3.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.268615322427017,0.515541733749169,2.62848517490366,5.04473755242314,4173.64453125,19.3046087773333,556319,1656330,637008,1000,1.59225270122496E-06,1.26640825085559E-06,2.58641116257374E-07,1.78612631896238E-07,2.27478618338353E-08,0.000157729566568488,5.57784770287936E-06, N/A , N/A
