Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
1.0 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.14474297632185792, 2.8295743395385693, 5.5945041618302636, 7727.69140625, 8.172905347466672, 231950, 692812, 263689, 1000, 1.2858763762806242E-5, 1.0094871055225963E-5, 3.515903645093517E-7, 1.1209448647592158E-6, 1.4445570749307956E-7, 3.472048025725385E-4, 2.8576113340026128E-5, N/A , N/A
1.0 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.15292773409529783, 2.989577824056989, 5.539813195052937, 7727.69140625, 9.137830924899983, 269522, 804054, 308133, 1000, 1.9090060264012254E-6, 1.5044785386713401E-6, 4.996757084525681E-8, 2.4799821455676257E-7, 2.6785870246987102E-8, 1.0460913826329002E-4, 5.198509354188482E-6, N/A , N/A
1.0 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.14481121189929122, 2.8309082739639573, 5.528674252581716, 7727.69140625, 10.828554438433335, 318471, 949131, 365396, 1000, 5.5936687146491475E-5, 4.3903417555964377E-5, 1.0334214506514293E-6, 1.244917621359671E-5, 8.518339249232143E-7, 0.00393012818572139, 2.070939559038519E-4, N/A , N/A
1.0 m, 1.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1567427820137825, 3.0641580349146826, 5.556974656296218, 7727.69140625, 12.811622805799997, 376935, 1122907, 433449, 1000, 1.0900321937859737E-5, 8.555634791729305E-6, 6.742888539217847E-7, 2.4470974544710826E-6, 1.7508325679846472E-7, 9.665441855716886E-4, 4.3317006655676355E-5, N/A , N/A
1.0 m, 1.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.1578353665969362, 3.085516924850679, 5.568967181113944, 7727.69140625, 15.149082376899969, 445468, 1326235, 512595, 1000, 3.034354188147243E-6, 2.385155992178826E-6, 3.9895431165984394E-7, 8.198868955711026E-7, 4.507653452340607E-8, 5.099764178079032E-4, 1.3168743694552328E-5, N/A , N/A
2.0 m, 2.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13823613204087126, 2.702372315117625, 5.3144418073032895, 7727.69140625, 8.319381473016652, 252725, 753775, 288263, 1000, 9.130255265161252E-7, 7.347329475187381E-7, 2.3144725077599034E-7, 1.4603370477644626E-7, 2.2966122401122373E-8, 3.84211168028243E-5, 2.1115079656535452E-6, N/A , N/A
2.0 m, 2.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm, 0.13467641738562014, 2.6327836034541288, 5.123717002656856, 7727.69140625, 10.550633577350029, 309263, 922003, 354807, 1000, 6.37208243817577E-7, 5.261322959772391E-7, 9.404431558023887E-8, 5.7971650671829707E-8, 1.0592498553960394E-8, 2.5368178754636603E-5, 1.3691262555695937E-6, N/A , N/A
